Habit,Date,Status,Comment
8hr sleep,2020-12-20,success,
Linkedin,2020-12-18,success,
150g protien,2020-12-22,skip,
150g protien,2020-12-23,success,
150g protien,2020-12-24,success,
8hr sleep,2020-12-21,success,
8hr sleep,2020-12-22,success,
Stretch,2020-12-17,success,
8hr sleep,2020-12-23,fail,
8hr sleep,2020-12-24,success,
Workout,2020-12-16,success,
Stretch,2020-12-18,fail,
Workout,2020-12-17,success,
Workout,2020-12-18,success,
Stretch,2020-12-19,fail,
Workout,2020-12-19,fail,
CEO,2020-12-20,success,
CEO,2020-12-21,fail,
CEO,2020-12-22,skip,
Basketball,2020-12-24,fail,
CEO,2020-12-23,success,
CEO,2020-12-24,success,
CEO,2020-12-25,success,
CEO,2020-12-26,success,
CEO,2020-12-27,success,
CEO,2020-12-28,skip,
Creatine,2020-11-29,success,
Creatine,2020-12-02,success,
CEO,2020-12-29,success,
CEO,2020-12-30,fail,
CEO,2020-12-31,fail,
CEO,2021-01-01,fail,
Creatine,2020-12-03,success,
Creatine,2020-12-20,success,
Basketball,2020-12-23,success,
Creatine,2020-12-21,success,
Creatine,2020-12-22,skip,
DUO,2020-12-21,success,
Creatine,2020-12-23,success,
Stretch,2020-12-20,fail,
Stretch,2020-12-21,fail,
DUO,2020-12-22,skip,
Stretch,2020-12-22,skip,
Workout,2020-12-22,skip,
DUO,2020-12-23,success,
Linkedin,2020-12-20,success,
Linkedin,2020-12-21,success,
Linkedin,2020-12-22,skip,
Workout,2020-12-20,success,
Workout,2020-12-21,success,
Linkedin,2020-12-23,success,
Stretch,2020-12-23,fail,
Workout,2020-12-23,success,
Creatine,2020-12-24,success,
150g protien,2020-12-25,success,
Creatine,2020-12-25,success,
150g protien,2020-12-26,fail,
150g protien,2020-12-27,success,
Creatine,2020-12-26,success,
150g protien,2020-12-28,fail,
150g protien,2020-12-29,success,
Creatine,2020-12-27,fail,
Creatine,2020-12-28,success,
Creatine,2020-12-29,success,
150g protien,2020-12-30,success,
150g protien,2020-12-31,success,
150g protien,2021-01-01,success,
150g protien,2021-01-02,success,
150g protien,2021-01-03,success,
150g protien,2021-01-04,success,
Creatine,2021-01-02,success,
150g protien,2021-01-05,success,
Creatine,2021-01-04,success,
150g protien,2021-01-06,fail,
Creatine,2020-12-30,success,
Creatine,2020-12-31,success,
Creatine,2021-01-01,success,
Creatine,2021-01-03,fail,
Creatine,2021-01-05,success,
Creatine,2021-01-06,success,
150g protien,2021-01-07,success,
Creatine,2021-01-07,success,
150g protien,2021-01-08,success,
150g protien,2021-01-09,success,
Creatine,2021-01-09,success,
150g protien,2021-01-10,success,
Creatine,2021-01-08,success,
Creatine,2021-01-10,success,
150g protien,2021-01-11,fail,
Creatine,2021-01-11,success,
150g protien,2021-01-12,success,
Creatine,2021-01-12,success,
150g protien,2021-01-13,success,
150g protien,2021-01-14,skip,
150g protien,2021-01-15,skip,
Creatine,2021-01-13,success,
Creatine,2021-01-14,skip,
Creatine,2021-01-15,skip,
150g protien,2021-01-16,skip,
150g protien,2021-01-17,fail,
150g protien,2021-01-18,success,
150g protien,2021-01-19,success,
150g protien,2021-01-20,success,
150g protien,2021-01-21,success,
150g protien,2021-01-22,success,
150g protien,2021-01-23,fail,
150g protien,2021-01-24,success,
150g protien,2021-01-25,success,
150g protien,2021-01-26,fail,
150g protien,2021-01-27,success,
150g protien,2021-01-28,success,
150g protien,2021-01-29,skip,
150g protien,2021-01-30,skip,
150g protien,2021-01-31,success,
150g protien,2021-02-01,success,
150g protien,2021-02-02,fail,
150g protien,2021-02-03,success,
150g protien,2021-02-04,success,
150g protien,2021-02-05,success,
Creatine,2021-01-18,success,
150g protien,2021-02-06,success,
150g protien,2021-02-07,success,
150g protien,2021-02-08,success,
150g protien,2021-02-09,success,
150g protien,2021-02-11,success,
150g protien,2021-02-12,skip,
150g protien,2021-02-13,success,
150g protien,2021-02-14,success,
150g protien,2021-02-15,fail,
150g protien,2021-02-16,success,
Creatine,2021-01-16,skip,
Creatine,2021-01-17,success,
150g protien,2021-02-17,success,
150g protien,2021-02-18,success,
150g protien,2021-02-19,success,
150g protien,2021-02-20,skip,
150g protien,2021-02-21,success,
Creatine,2021-01-19,success,
150g protien,2021-02-10,success,
Creatine,2021-01-20,success,
Creatine,2021-01-21,success,
Creatine,2021-01-22,success,
Creatine,2021-02-07,success,
Creatine,2021-02-08,success,
Creatine,2021-02-09,success,
Creatine,2021-02-10,success,
Creatine,2021-02-11,success,
Creatine,2021-02-12,skip,
Creatine,2021-02-13,fail,
Creatine,2021-02-14,fail,
Creatine,2021-02-15,success,
Creatine,2021-02-16,success,
Creatine,2021-02-17,success,
Creatine,2021-02-18,success,
Creatine,2021-02-19,success,
Creatine,2021-02-20,skip,
Creatine,2021-02-21,success,
DUO,2020-12-02,fail,
150g protien,2021-02-22,success,
DUO,2020-12-03,success,
Creatine,2021-02-22,success,
150g protien,2021-02-23,success,
150g protien,2021-02-24,skip,
Creatine,2021-02-23,success,
150g protien,2021-03-03,fail,
Creatine,2021-02-24,skip,
150g protien,2021-02-25,skip,
Creatine,2021-02-25,skip,
150g protien,2021-02-26,success,
150g protien,2021-02-27,success,
Creatine,2021-02-26,skip,
Creatine,2021-02-27,success,
150g protien,2021-02-28,success,
Creatine,2021-02-28,success,
150g protien,2021-03-01,fail,
150g protien,2021-03-02,success,
Creatine,2021-03-01,success,
Creatine,2021-03-02,success,
Creatine,2021-03-03,fail,
150g protien,2021-03-04,success,
DUO,2020-11-29,success,
150g protien,2021-03-05,fail,
DUO,2020-11-30,success,
DUO,2020-12-01,skip,
Creatine,2021-03-04,success,
150g protien,2021-03-06,skip,
150g protien,2021-03-07,skip,
Creatine,2021-03-06,skip,
DUO,2020-12-04,success,
DUO,2020-12-05,skip,
DUO,2020-12-06,skip,
DUO,2020-12-07,success,
DUO,2020-12-08,success,
DUO,2020-12-09,success,
Daily progress,2020-12-04,success,
DUO,2020-12-10,success,
DUO,2020-12-11,success,
DUO,2020-12-12,success,
DUO,2020-12-13,success,
DUO,2020-12-14,success,
Creatine,2021-03-05,success,
DUO,2020-12-15,success,
DUO,2020-12-16,success,
DUO,2020-12-17,success,
Creatine,2021-03-07,skip,
DUO,2020-12-18,success,
8hr sleep,2020-12-25,success,
8hr sleep,2020-12-26,fail,
8hr sleep,2020-12-27,fail,
8hr sleep,2020-12-28,fail,
8hr sleep,2020-12-29,success,
8hr sleep,2020-12-30,success,
8hr sleep,2020-12-31,success,
Creatine,2021-01-23,success,
Creatine,2021-01-24,success,
Daily progress,2020-12-05,skip,
Creatine,2021-01-25,success,
Creatine,2021-01-26,success,
Creatine,2021-01-27,success,
Creatine,2021-01-28,success,
Creatine,2021-01-29,success,
Creatine,2021-01-30,skip,
Creatine,2021-01-31,success,
Creatine,2021-02-01,success,
Creatine,2021-02-02,success,
Creatine,2021-02-03,success,
Creatine,2021-02-04,success,
Daily progress,2020-12-06,skip,
Creatine,2021-02-05,fail,
Creatine,2021-02-06,success,
DUO,2020-12-24,success,
Meditate,2020-11-29,success,
Meditate,2020-11-30,success,
Meditate,2020-12-01,skip,
Meditate,2020-12-02,fail,
Daily progress,2020-12-07,fail,
Meditate,2020-12-03,fail,
Daily progress,2020-12-10,success,
Daily progress,2020-12-11,success,
Meditate,2020-12-04,success,
Meditate,2020-12-05,skip,
Meditate,2020-12-06,skip,
Meditate,2020-12-07,success,
Daily progress,2020-12-08,success,
Daily progress,2020-12-09,success,
Daily progress,2020-12-12,success,
Daily progress,2020-12-13,success,
Meditate,2020-12-08,success,
Daily progress,2020-12-19,success,
Daily progress,2020-12-20,success,
Meditate,2020-12-09,success,
DUO,2020-12-25,success,
Meditate,2020-12-10,fail,
Meditate,2020-12-11,success,
Meditate,2020-12-12,success,
Meditate,2020-12-13,success,
DUO,2020-12-19,success,
Daily progress,2020-12-18,success,
DUO,2020-12-20,success,
Daily progress,2020-12-14,success,
Daily progress,2020-12-15,success,
Daily progress,2020-12-16,success,
Daily progress,2020-12-17,success,
DUO,2020-12-26,success,
DUO,2020-12-27,fail,
DUO,2020-12-28,success,
DUO,2020-12-29,success,
DUO,2020-12-30,success,
Daily progress,2020-12-21,success,
DUO,2020-12-31,success,
Daily progress,2020-12-22,skip,
8hr sleep,2021-01-01,fail,
Daily progress,2020-12-23,success,
Meditate,2020-12-14,success,
Daily progress,2020-12-25,success,
Meditate,2020-12-15,success,
Meditate,2020-12-16,success,
Meditate,2020-12-17,fail,
Meditate,2020-12-18,success,
Daily progress,2020-12-24,success,
Linkedin,2020-12-24,skip,
Meditate,2020-12-19,success,
Meditate,2020-12-20,fail,
Meditate,2020-12-21,success,
Meditate,2020-12-22,skip,
Meditate,2020-12-23,success,
Meditate,2020-12-24,success,
DUO,2021-01-01,success,
Linkedin,2020-12-25,skip,
Daily progress,2020-12-26,success,
Linkedin,2020-12-26,skip,
Daily progress,2020-12-27,success,
Linkedin,2020-12-27,skip,
Daily progress,2020-12-29,success,
Meditate,2020-12-27,success,
Daily progress,2020-12-28,success,
Linkedin,2020-12-28,skip,
Meditate,2020-12-29,success,
Daily progress,2020-12-30,success,
Meditate,2020-12-25,fail,
Meditate,2020-12-26,success,
Meditate,2020-12-28,fail,
Stretch,2020-12-24,fail,
Stretch,2020-12-25,fail,
Stretch,2020-12-26,fail,
Daily progress,2020-12-31,success,
Linkedin,2020-12-30,skip,
Stretch,2020-12-27,success,
Stretch,2020-12-28,fail,
Workout,2020-12-24,success,
Workout,2020-12-25,success,
Linkedin,2020-12-29,skip,
Workout,2020-12-26,success,
Stretch,2020-12-29,fail,
Workout,2020-12-27,success,
Workout,2020-12-28,success,
Workout,2020-12-29,success,
Meditate,2020-12-30,success,
Linkedin,2020-12-31,skip,
Meditate,2020-12-31,success,
Stretch,2020-12-30,fail,
Stretch,2020-12-31,fail,
Workout,2020-12-30,success,
Workout,2020-12-31,success,
Daily progress,2021-01-01,success,
ECON,2020-11-18,skip,
Daily progress,2021-02-05,success,
Daily progress,2021-02-06,success,
ENG,2020-11-18,success,
Daily progress,2021-02-07,success,
ECON,2020-11-19,success,
Daily progress,2021-02-08,success,
ENG,2020-11-19,skip,
ECON,2020-11-20,success,
ECON,2020-11-21,skip,
ECON,2020-11-22,skip,
ECON,2020-11-23,skip,
ENG,2020-11-20,skip,
ENG,2020-11-21,skip,
ENG,2020-11-22,skip,
ENG,2020-11-23,skip,
Elevate,2020-11-29,success,
Elevate,2020-11-30,success,
Journal,2020-11-29,success,
Journal,2020-11-30,success,
Elevate,2020-12-01,skip,
Elevate,2020-12-02,success,
Journal,2020-12-02,fail,
Elevate,2020-12-03,success,
Journal,2020-12-03,success,
Elevate,2020-12-04,fail,
Journal,2020-12-01,skip,
Journal,2020-12-04,success,
Elevate,2020-12-05,skip,
Journal,2020-12-05,skip,
Elevate,2020-12-06,skip,
Journal,2020-12-09,fail,
FEWSUS,2020-12-10,fail,
FEWSUS,2020-12-11,fail,
Journal,2020-12-10,fail,
Journal,2020-12-11,fail,
Journal,2020-12-12,fail,
Journal,2020-12-13,success,
Journal,2020-12-14,success,
Journal,2020-12-15,fail,
Journal,2020-12-16,success,
Journal,2020-12-17,success,
Journal,2020-12-18,fail,
Journal,2020-12-19,fail,
Journal,2020-12-20,fail,
Journal,2020-12-21,fail,
Journal,2020-12-22,skip,
Journal,2020-12-23,fail,
Journal,2020-12-26,success,
Daily progress,2021-01-23,success,
Journal,2020-12-27,fail,
Journal,2020-12-28,fail,
Journal,2020-12-29,success,
Journal,2020-12-30,success,
Journal,2020-12-31,fail,
Journal,2021-01-01,fail,
Journal,2021-01-02,fail,
Journal,2021-01-03,success,
Journal,2021-01-04,success,
Journal,2021-01-05,success,
Journal,2021-01-06,fail,
Journal,2021-01-07,success,
Journal,2021-01-08,success,
Journal,2021-01-09,success,
Journal,2021-01-10,skip,
Journal,2021-01-11,success,
Journal,2021-01-12,success,
Journal,2021-01-13,success,
Journal,2021-01-14,skip,
Journal,2021-01-15,skip,
Journal,2021-01-16,skip,
Journal,2021-01-17,success,
Journal,2021-01-18,success,
Journal,2021-01-19,fail,
Journal,2021-01-20,success,
Journal,2021-01-21,success,
Journal,2021-01-22,fail,
Daily progress,2021-01-24,success,
Elevate,2021-01-12,success,
Daily progress,2021-01-25,success,
Elevate,2021-01-14,success,
Daily progress,2021-01-26,success,
Daily progress,2021-01-27,success,
Daily progress,2021-01-28,success,
Daily progress,2021-01-29,success,
FEWSUS,2020-11-29,fail,
Daily progress,2021-01-30,skip,
Daily progress,2021-01-31,success,
Elevate,2021-01-05,success,
Daily progress,2021-02-01,success,
Elevate,2021-01-06,success,
Elevate,2021-01-07,success,
Elevate,2021-01-08,success,
Elevate,2021-01-09,success,
Elevate,2021-01-10,skip,
Elevate,2021-01-11,success,
Elevate,2021-01-13,success,
Elevate,2021-01-15,skip,
FEWSUS,2020-11-30,fail,
Journal,2020-12-25,success,
Daily progress,2021-02-04,success,
Elevate,2021-01-16,skip,
Elevate,2021-01-18,success,
Elevate,2021-01-19,success,
Elevate,2021-01-20,success,
Elevate,2021-01-21,success,
Elevate,2021-01-22,skip,
Journal,2020-12-24,success,
Morning weight,2020-11-29,success,
Elevate,2021-01-17,skip,
FEWSUS,2020-12-01,skip,
FEWSUS,2020-12-02,success,
Daily progress,2021-02-02,success,
Morning weight,2020-11-30,success,
Morning weight,2020-12-01,success,
Morning weight,2020-12-02,success,
FEWSUS,2020-12-03,fail,
FEWSUS,2020-12-04,fail,
FEWSUS,2020-12-05,skip,
Elevate,2020-12-09,success,
FEWSUS,2020-12-06,skip,
Morning weight,2020-12-03,success,
Elevate,2020-12-07,success,
Elevate,2020-12-08,success,
FEWSUS,2020-12-07,fail,
FEWSUS,2020-12-08,fail,
Elevate,2020-12-10,success,
Elevate,2020-12-13,success,
Journal,2020-12-06,skip,
FEWSUS,2020-12-09,fail,
Journal,2020-12-07,fail,
Morning weight,2020-12-04,success,
Morning weight,2020-12-05,skip,
Elevate,2020-12-11,success,
Elevate,2020-12-12,success,
Morning weight,2020-12-06,skip,
Journal,2020-12-08,fail,
Morning weight,2020-12-07,success,
Morning weight,2020-12-08,success,
Daily progress,2021-02-03,success,
Morning weight,2020-12-09,success,
Morning weight,2020-12-10,success,
Morning weight,2020-12-11,success,
Morning weight,2020-12-12,success,
Morning weight,2020-12-13,success,
Elevate,2020-12-14,success,
Morning weight,2020-12-14,success,
Elevate,2020-12-15,success,
Elevate,2020-12-16,success,
CEO,2021-01-03,skip,
Elevate,2020-12-17,success,
Morning weight,2020-12-15,success,
Morning weight,2020-12-16,success,
Elevate,2020-12-18,success,
Elevate,2020-12-19,success,
Morning weight,2020-12-17,success,
Elevate,2020-12-20,success,
Morning weight,2020-12-18,success,
Morning weight,2020-12-19,success,
Morning weight,2020-12-20,success,
Elevate,2020-12-21,success,
Elevate,2020-12-22,skip,
Elevate,2020-12-23,success,
Elevate,2020-12-24,success,
Elevate,2020-12-25,success,
Elevate,2020-12-26,success,
Morning weight,2020-12-25,success,
Elevate,2020-12-27,success,
Morning weight,2020-12-21,success,
Morning weight,2020-12-22,skip,
Morning weight,2020-12-23,success,
Morning weight,2020-12-24,success,
Morning weight,2020-12-26,success,
Elevate,2020-12-28,success,
Morning weight,2020-12-27,success,
Morning weight,2020-12-28,success,
Elevate,2020-12-29,success,
Elevate,2020-12-30,success,
Elevate,2020-12-31,success,
Elevate,2021-01-01,fail,
Elevate,2021-01-02,success,
Elevate,2021-01-03,success,
Elevate,2021-01-04,fail,
Morning weight,2020-12-29,success,
Morning weight,2020-12-30,success,
Morning weight,2020-12-31,success,
Morning weight,2021-01-01,success,
Morning weight,2021-01-02,success,
Morning weight,2021-01-03,success,
Morning weight,2021-01-04,success,
Morning weight,2021-01-05,success,
Morning weight,2021-01-06,success,
Morning weight,2021-01-07,success,
Morning weight,2021-01-08,success,
Morning weight,2021-01-09,success,
Morning weight,2021-01-10,success,
Read,2020-12-10,fail,
Morning weight,2021-01-11,success,
Morning weight,2021-01-12,success,
Read,2020-11-29,success,
Morning weight,2021-01-13,success,
Morning weight,2021-01-14,success,
Morning weight,2021-01-15,skip,
Morning weight,2021-01-16,skip,
Morning weight,2021-01-17,success,
Morning weight,2021-01-18,success,
Morning weight,2021-01-19,success,
Morning weight,2021-01-21,success,
Read,2020-11-30,success,
Morning weight,2021-01-20,success,
Read,2020-12-01,skip,
Read,2020-12-02,fail,
Read,2020-12-03,success,
Read,2020-12-04,success,
Read,2020-12-05,skip,
Read,2020-12-06,skip,
Read,2020-12-07,success,
Read,2020-12-08,success,
Read,2020-12-09,success,
Morning weight,2021-01-22,success,
Morning weight,2021-01-30,skip,
Python,2020-12-02,fail,
Morning weight,2021-01-31,success,
Python,2020-11-29,success,
Morning weight,2021-02-01,success,
Morning weight,2021-02-02,success,
Python,2020-11-30,fail,
Python,2020-12-01,skip,
Python,2020-12-03,fail,
Python,2020-12-04,fail,
Morning weight,2021-02-03,success,
Morning weight,2021-02-04,success,
Morning weight,2021-02-05,success,
Morning weight,2021-02-07,success,
Python,2020-12-05,skip,
Python,2020-12-08,fail,
Python,2020-12-09,fail,
Morning weight,2021-01-23,success,
Morning weight,2021-01-24,success,
Python,2020-12-06,skip,
Python,2020-12-07,fail,
Morning weight,2021-01-25,success,
Morning weight,2021-01-26,success,
Morning weight,2021-01-27,success,
Python,2020-12-10,fail,
Morning weight,2021-01-28,success,
Morning weight,2021-01-29,success,
Morning weight,2021-02-06,success,
Python,2020-12-11,fail,
Python,2020-12-12,fail,
Python,2020-12-13,fail,
Python,2020-12-14,fail,
Python,2020-12-15,fail,
Python,2020-12-16,fail,
Python,2020-12-17,fail,
Python,2020-12-18,success,
Python,2020-12-19,fail,
Python,2020-12-20,fail,
Python,2020-12-21,fail,
Read,2020-12-20,success,
Python,2020-12-22,skip,
Read,2020-12-21,success,
Python,2020-12-23,success,
Python,2020-12-24,fail,
Python,2020-12-25,fail,
Read,2020-12-22,skip,
Read,2020-12-23,success,
8hr sleep,2021-01-02,success,
Read,2020-12-24,success,
Read,2020-12-25,success,
TikTok,2020-12-24,success,
8hr sleep,2021-01-17,success,
Daily progress,2021-01-02,success,
Daily progress,2021-01-03,success,
Daily progress,2021-01-04,success,
Daily progress,2021-01-05,success,
Daily progress,2021-01-06,success,
Daily progress,2021-01-07,success,
Daily progress,2021-01-08,success,
Elevate,2021-01-27,fail,
Elevate,2021-01-28,success,
Journal,2021-01-24,success,
Elevate,2021-01-29,success,
Journal,2021-01-25,success,
Elevate,2021-01-30,skip,
Elevate,2021-01-31,success,
Elevate,2021-02-01,success,
Elevate,2021-02-02,success,
Journal,2021-01-26,success,
Elevate,2021-02-03,success,
Elevate,2021-02-04,success,
Elevate,2021-02-05,success,
Journal,2021-01-27,fail,
Journal,2021-01-28,success,
Journal,2021-01-29,skip,
Journal,2021-01-30,skip,
Python,2020-12-26,fail,
TikTok,2020-12-05,skip,
Journal,2021-01-31,success,
Elevate,2021-02-06,success,
Journal,2021-02-01,success,
Journal,2021-02-03,success,
Journal,2021-02-04,success,
Journal,2021-02-05,success,
Journal,2021-02-06,success,
TikTok,2020-11-29,success,
TikTok,2020-11-30,success,
Elevate,2021-02-07,success,
TikTok,2020-12-01,skip,
Journal,2021-02-07,success,
TikTok,2020-12-02,fail,
TikTok,2020-12-03,fail,
TikTok,2020-12-04,fail,
TikTok,2020-12-06,skip,
Journal,2021-02-02,success,
TikTok,2020-12-07,fail,
TikTok,2020-12-08,fail,
TikTok,2020-12-09,fail,
TikTok,2020-12-10,fail,
TikTok,2020-12-11,success,
TikTok,2020-12-12,fail,
TikTok,2020-12-13,fail,
TikTok,2020-12-14,success,
TikTok,2020-12-15,success,
TikTok,2020-12-16,success,
TikTok,2020-12-17,success,
TikTok,2020-12-18,success,
TikTok,2020-12-19,fail,
TikTok,2020-12-20,fail,
TikTok,2020-12-21,fail,
TikTok,2020-12-22,skip,
TikTok,2020-12-23,fail,
TikTok,2020-12-25,fail,
Python,2020-12-27,fail,
Python,2020-12-28,fail,
TikTok,2020-12-28,success,
Meditate,2021-01-01,success,
Meditate,2021-01-10,skip,
Meditate,2021-01-11,success,
Python,2020-12-29,fail,
Python,2020-12-30,fail,
TikTok,2020-12-29,success,
TikTok,2020-12-30,success,
Python,2020-12-31,fail,
TikTok,2020-12-31,success,
CEO,2021-01-04,success,
CEO,2021-01-05,fail,
CEO,2021-01-06,fail,
Python,2021-01-01,fail,
8hr sleep,2021-01-18,success,
Journal,2021-01-23,fail,
Meditate,2021-01-12,success,
Business idea,2021-01-16,skip,
Meditate,2021-01-13,fail,
Meditate,2021-01-14,skip,
Meditate,2021-01-15,skip,
Business idea,2021-01-17,success,
Business idea,2021-01-19,success,
Meditate,2021-01-16,skip,
Business idea,2021-01-18,success,
Meditate,2021-01-17,success,
TikTok,2020-12-27,success,
Business idea,2021-01-20,success,
Meditate,2021-01-18,success,
Meditate,2021-01-19,success,
Meditate,2021-01-20,success,
Business idea,2021-01-21,success,
CEO,2021-01-24,success,
Meditate,2021-01-21,success,
Business idea,2021-01-22,success,
Meditate,2021-01-22,success,
CEO,2021-01-23,success,
Python,2021-01-23,success,
CEO,2021-01-25,success,
CEO,2021-01-27,success,
DUO,2021-01-22,success,
